© 2000-2023 QIAGEN. All rights reserved.

Categories	Functions	Diseases or Functions Annotation	p-value	B-H p-value	Predicted Activation State	Activation z-score	Molecules	# Molecules
Cell-To-Cell Signaling and Interaction,Cellular Function and Maintenance,Inflammatory Response	phagocytosis	Phagocytosis of tumor cell lines	3,46E-04	1,44E-01	Decreased	-3,635	ACTR2,ACTR3,ARPC2,ARPC3,ARPC4,BRK1,CD47,CSK,GNAI2,GRB2,HCK,HMOX1,ITGB2,JAK1,NCKAP1L,PFN1,PKM,PLEK,PSMD4,PTPN6,RAC1,RHOA,RHOG,SIGLEC10,SPI1,TLN1,TNF,UBE2L3,VIM,WASF2	30
Cellular Function and Maintenance,Hematological System Development and Function	engulfment	Engulfment of myeloid cells	3,74E-04	1,44E-01	Decreased	-4,197	ACTR2,ACTR3,ARPC2,ARPC3,ARPC4,BRK1,CD47,CNN2,FCMR,FGR,GLRX,GNAI2,GRN,GSN,HCK,HMOX1,HSH2D,ITGB2,JAK1,NCKAP1L,PLEK,PTPN6,PTPRC,RAC1,RAC2,RHOA,RHOG,SPI1,SYK,TLN1,TNF,UBE2L3,UCP2,WASF2	34
Cellular Function and Maintenance	engulfment	Engulfment of blood cells	3,76E-04	1,44E-01	Decreased	-3,955	ACTR2,ACTR3,ARPC2,ARPC3,ARPC4,BRK1,CD47,CNN2,FCMR,FGR,GLRX,GNAI2,GRN,GSN,HCK,HMOX1,HSH2D,ITGB2,JAK1,MYO1G,NCKAP1L,PLEK,PTPN6,PTPRC,RAC1,RAC2,RHOA,RHOG,SPI1,SRA1,SYK,TLN1,TNF,UBE2L3,UCP2,WASF2	36
Cell Signaling,Post-Translational Modification	tyrosine phosphorylation	Tyrosine phosphorylation of protein	3,81E-04	1,44E-01	 	-0,227	CD19,CD47,CD79A,CSK,DUSP1,FCRL5,FLNA,HCK,ILK,ITGB2,LAT2,PPIA,PRDX1,PSAP,PTPN1,PTPN22,PTPN6,PTPRC,RAC1,SPI1,SYK,TNF	22
Cellular Function and Maintenance	engulfment	Engulfment of phagocytes	3,81E-04	1,44E-01	Decreased	-2,714	CD47,CNN2,FGR,GLRX,GRN,GSN,HCK,HMOX1,HSH2D,ITGB2,NCKAP1L,PTPN6,PTPRC,RAC1,RAC2,RHOA,RHOG,SPI1,SRA1,SYK,TNF,UCP2	22
Cellular Movement,Hematological System Development and Function,Immune Cell Trafficking,Inflammatory Response	chemotaxis	Chemotaxis of granulocytes	3,81E-04	1,44E-01	Decreased	-2,176	CD47,CORO1A,CXCR3,FGR,GRN,GSN,HCK,ITGB2,LSP1,NCKAP1L,PIKFYVE,PNOC,PPIA,PREX1,PTPN6,RAC1,RAC2,SERPINB1,SPI1,SYK,TMSB10/TMSB4X,TNF	22
Cellular Movement	cell movement	Cell movement	3,82E-04	1,44E-01	Decreased	-6,436	ACTB,ACTG1,ACTR2,ANXA2,AP1S2,ARHGDIB,ARID3A,ARPC1B,ARPC2,ARPC3,ATP5F1A,ATP5F1B,BRK1,BTG1,CAP1,CAPNS1,CD19,CD47,CD53,CD82,CD99,CDCA7L,CFL1,CHD4,CIB1,CKS2,CLIC1,CNN2,COMMD8,CORO1A,CSK,CTSH,CUX1,CXCR3,CXCR4,CYBA,CYTOR,DBNL,DDX17,DUSP1,EFHD2,FABP5,FGR,FLNA,FUT8,GAPDH,GLRX,GLUL,GNAI2,GOLPH3,GPI,GRB2,GRN,GSN,HCK,HHEX,HLA-DQB1,HMGA1,HMOX1,HSBP1,HVCN1,IGF2BP3,ILK,ITGAX,ITGB2,ITGB7,JAK1,LCP1,LITAF,LSP1,MAD1L1,MALT1,MAP4K1,MAZ,MEF2C,MIEN1,MRPL52,MS4A1,MTCH2,MTSS1,MYL12A,MYO1G,NCKAP1L,NCOA3,NDUFB2,NEAT1,NME1,NME2,OGT,PAK2,PARK7,PARP1,PARVG,PDLIM1,PFN1,PIKFYVE,PKM,PNOC,PPIA,PPP1CA,PRDX1,PREX1,PSMB8,PTPN1,PTPN22,PTPN6,PTPRC,PYCARD,RABEP1,RAC1,RAC2,RAP1B,RASGRP1,RASGRP2,RHOA,RHOG,RNF141,S100A10,S100A11,SEPTIN7,SERPINB1,SLC38A1,SMARCC1,SPI1,SUMO1,SYK,TAGLN2,TCIRG1,TESC,TKT,TLN1,TMSB10/TMSB4X,TNF,TNFRSF1B,TPI1,TPM3,TPT1,TRAPPC1,TSC22D3,TWF2,UCP2,VASP,VCP,VDAC1,VIM,VSIR,WASF2,WIPF1,YBX1,YWHAE,ZDHHC12,ZEB2,ZYX	153
Free Radical Scavenging	synthesis	Synthesis of reactive oxygen species	3,93E-04	1,44E-01	 	-1,813	ACTB,ANXA2,ARHGDIB,CAPNS1,CD47,CD52,CLIC1,COX5B,CYBA,CYTOR,DBI,DECR1,DUSP1,FCMR,FGR,FLNA,FTL,GRN,GSN,HCK,HMOX1,HVCN1,ILK,ITGAX,ITGB2,MS4A1,NDUFA11,NDUFV2,PARK7,PARP1,PIKFYVE,PPIA,PRDX1,PREX1,PSMB8,PTPN1,PTPN22,PTPN6,PYCARD,RAC1,RAC2,RHOA,ROMO1,SAT1,SIGLEC10,SPI1,SYK,TNF,TXNIP,UCP2,VDAC1	51
Cellular Movement	migration	Migration of cells	3,98E-04	1,44E-01	Decreased	-6,409	ACTB,ACTG1,ANXA2,AP1S2,ARHGDIB,ARID3A,ARPC2,ATP5F1A,ATP5F1B,BRK1,CAP1,CAPNS1,CD19,CD47,CD53,CD82,CD99,CDCA7L,CFL1,CIB1,CKS2,CNN2,COMMD8,CORO1A,CSK,CTSH,CUX1,CXCR3,CXCR4,CYBA,CYTOR,DBNL,DDX17,DUSP1,EFHD2,FABP5,FGR,FLNA,FUT8,GAPDH,GLRX,GLUL,GNAI2,GOLPH3,GPI,GRB2,GRN,GSN,HCK,HHEX,HLA-DQB1,HMGA1,HMOX1,HSBP1,HVCN1,IGF2BP3,ILK,ITGAX,ITGB2,ITGB7,JAK1,LCP1,LITAF,LSP1,MAD1L1,MALT1,MAP4K1,MAZ,MEF2C,MIEN1,MRPL52,MS4A1,MTCH2,MTSS1,MYL12A,MYO1G,NCKAP1L,NCOA3,NDUFB2,NEAT1,NME1,NME2,OGT,PAK2,PARK7,PARP1,PDLIM1,PFN1,PIKFYVE,PKM,PNOC,PPIA,PPP1CA,PRDX1,PREX1,PSMB8,PTPN1,PTPN6,PTPRC,PYCARD,RABEP1,RAC1,RAC2,RAP1B,RASGRP1,RASGRP2,RHOA,RHOG,RNF141,S100A10,S100A11,SEPTIN7,SERPINB1,SLC38A1,SMARCC1,SPI1,SUMO1,SYK,TAGLN2,TCIRG1,TESC,TLN1,TMSB10/TMSB4X,TNF,TNFRSF1B,TPM3,TPT1,TRAPPC1,TSC22D3,UCP2,VASP,VCP,VDAC1,VIM,VSIR,WASF2,WIPF1,YBX1,YWHAE,ZDHHC12,ZEB2,ZYX	142
Cellular Movement	migration	Migration of myeloid cells	4,64E-04	1,57E-01	Decreased	-2,808	CD47,CD99,CNN2,CORO1A,CXCR4,FGR,GNAI2,HCK,HMOX1,ITGAX,ITGB2,LSP1,NCKAP1L,PARP1,PKM,PREX1,PTPN6,RAC1,RAP1B,RASGRP2,RHOA,TLN1,TNF,VASP	24
Cell-To-Cell Signaling and Interaction	activation	Activation of cells	4,78E-04	1,57E-01	 	-1,261	ANXA2,ATP2A3,CD19,CD47,CD79A,CFL1,CLEC2D,CLIC1,CORO1A,CSK,CTSH,CXCR3,CXCR4,DUSP1,FKBP1A,FUT8,GNAI2,GRB2,GRN,GSN,HCK,HLA-DMB,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQB1,HLA-DRA,HMOX1,HSH2D,HSPA4,HVCN1,IGF2BP3,ITGAX,ITGB2,JAK1,LAPTM5,LAT2,LSP1,MALT1,MAP4K1,MEF2C,MS4A1,OGT,PAK2,PARK7,PARP1,PKM,PLEK,PPIA,PPP1R18,PRDX1,PREX1,PSAP,PSMB8,PTPN22,PTPN6,PTPRC,PYCARD,RAC1,RASGRP1,RHOA,SELENOW,SIGLEC10,SPI1,SYK,TCF4,TCIRG1,TLN1,TNF,TNFRSF1B,TPT1,TRAPPC1,TXNIP,UNC93B1,VASP,VIM,VSIR	77
Developmental Disorder,Neurological Disease,Organismal Injury and Abnormalities	dysmyelination	Dysmyelination	4,99E-04	1,57E-01	 	1,136	CD19,CD47,CD52,CD68,CXCR3,DECR1,FDFT1,FDPS,HLA-DMB,HLA-DQA1,HLA-DQB1,HLA-DRA,LITAF,LY6E,MEF2C,MS4A1,NCOA3,OAS1,OGT,PSAP,PSMB8,PTPRC,TNF,TNFRSF1B,TSPO	25
Immunological Disease,Inflammatory Disease,Organismal Injury and Abnormalities	immune mediated inflammatory disease	Immune mediated inflammatory disease	5,07E-04	1,57E-01	Decreased	-2,110	ACTB,ARHGDIB,ARPC1B,ARPC3,ATP2B1,BCAS4,CAPZB,CD19,CD47,CD52,CD68,CD79A,CFL1,CHD4,CIB1,CKS2,CRIP1,CSK,CUX1,CXCR4,DHRS9,DUSP1,DYNLL1,EEF1A1,FABP5,FCRL5,FDPS,FGR,FIBP,FKBP1A,FLNA,GAPDH,GLUL,GOLPH3,GRN,GSN,H3-3A/H3-3B,HCK,HLA-DMB,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQB1,HLA-DRA,HMGA1,HMOX1,IFI30,IKZF3,ILK,ITGAX,ITGB2,ITGB7,JAK1,JPT1,LAPTM5,LBH,LCP1,LY6E,MALT1,MAZ,MRPS36,MS4A1,MT2A,MYL12A,OAS1,OSTF1,PARP1,PDLIM1,PEA15,PFN1,PIKFYVE,PKM,PLD4,POLR2L,PPIA,PPP1CA,PPP1R7,PRDX1,PRDX5,PREX1,PSAP,PSMB2,PSMB8,PTPN1,PTPN22,PTPN6,PTPRC,PYCARD,RAB1B,RAC2,RASGRP1,RNPEPL1,RTF2,S100A10,S100A11,SAMHD1,SF3B6,SIGLEC10,SPI1,SUMO1,SYK,TAGLN2,TALDO1,TCF4,TCIRG1,TKT,TNF,TNFRSF1B,TPI1,TPM3,TSPO,UBE2L3,UGCG,UNC93B1,VCP,VIM,WIPF1,ZEB2,ZYX	119
Cell-To-Cell Signaling and Interaction	binding	Binding of blood cells	5,08E-04	1,57E-01	Decreased	-2,709	ATP2A3,CD47,CD99,CIB1,CORO1A,CSK,CXCR3,CXCR4,FGR,FLNA,GLRX,GNAI2,HCK,ILK,ITGAX,ITGB2,ITGB7,JAK1,LCP1,LSP1,MAP4K1,MS4A1,MYO1G,NCKAP1L,PAK2,PKM,PREX1,PTPN22,PTPN6,PTPRC,RAC1,RAC2,RAP1B,RASGRP1,RASGRP2,RHOA,SLC44A2,SPI1,SYK,TLN1,TNF,VASP,VIM,WIPF1	44
Connective Tissue Development and Function,Tissue Development	growth	Growth of connective tissue	5,38E-04	1,57E-01	Decreased	-2,759	ACTB,ARID3A,BRK1,CAPNS1,CIB1,CKS2,CSK,CXCR3,DUSP1,FTL,GNAI2,GOLPH3,GPI,GRB2,GRN,HMGA1,HMOX1,IFI30,IGF2BP3,ILK,JAK1,NCOA4,NEAT1,OGT,PKM,PRDX1,PTPN1,PTPN6,PTPRC,RAC1,RAP1B,RHOA,S100A11,SEPTIN6,TALDO1,TCIRG1,TNF,TXNIP,VCP,VIM,WASF2,YBX1	42
Cardiovascular Disease,Hematological Disease,Organismal Injury and Abnormalities	formation	Formation of thrombus	5,52E-04	1,57E-01	 	-0,494	ANXA2,ATP2A3,CSK,ITGB2,PTPN22,RAP1B,RHOA,RHOG,SYK,TNF,TNFRSF1B,TWF2	12
Cancer,Organismal Injury and Abnormalities	carcinoma	Invasive carcinoma	5,53E-04	1,57E-01	 	 	ACP5,ANXA2,CALM1 (includes others),CD47,CUX1,CXCR3,EEF1A1,EIF4A1,FDFT1,FDPS,FGR,FKBP1A,FTL,GABARAPL2,HLA-DQA1,IFI30,JAK1,LIMD2,LY6E,MEF2C,MYL12A,NAA50,OAS1,PAK2,PARP1,PKM,PPIA,PREX1,PSAP,PTPN1,PTPRC,RAC1,RHOA,S100A11,TERF2IP,TMSB10/TMSB4X,TNF,TPT1,VIM,WDR1,YWHAE	41
Cellular Assembly and Organization,Cellular Function and Maintenance	organization	Organization of cytoskeleton	5,65E-04	1,57E-01	Decreased	-3,697	ACTG1,ACTR2,ACTR3,ARHGDIB,ARPC1B,ARPC2,ARPC3,ARPC4,ARPC5,BRK1,CAP1,CAPNS1,CAPZB,CD47,CD82,CD99,CFL1,CIB1,CNN2,CORO1A,CRIP1,CSK,CSRP1,CXCR3,CXCR4,DBNL,DYNLL1,FGR,FKBP1A,FLNA,FUT8,GDI2,GOLPH3,GRB2,GSN,HCK,ILK,LCP1,LSP1,MEF2C,MIEN1,MTSS1,NCKAP1L,NME1,OGT,PAK2,PARP1,PFDN5,PFN1,PKM,PLEK,PREX1,PSMF1,PTPN1,PTPN22,RAC1,RAC2,RAP1B,RHOA,RHOG,S100A11,SEPTIN7,SH3BGRL3,SMARCE1,SNX3,SPI1,SPTAN1,SSNA1,SYK,TLN1,TNF,TNFRSF1B,TWF2,UGCG,VASP,VDAC1,VIM,WASF2,WDR1,WIPF1,YBX1,YWHAH,ZEB2	83
Cellular Movement,Hematological System Development and Function,Immune Cell Trafficking,Inflammatory Response	cell movement	Cell movement of neutrophils	5,90E-04	1,57E-01	Decreased	-2,921	ANXA2,CD47,CD99,CNN2,CORO1A,DUSP1,FGR,GNAI2,GRN,GSN,HCK,HMOX1,ILK,ITGB2,LSP1,MALT1,NCKAP1L,PARP1,PIKFYVE,PKM,PNOC,PPIA,PREX1,PTPN6,RAC1,RAC2,RAP1B,RASGRP2,SERPINB1,SPI1,SYK,TLN1,TMSB10/TMSB4X,TNF,TNFRSF1B,VASP,YBX1,ZDHHC12	38
Cellular Assembly and Organization,Cellular Function and Maintenance	organization	Organization of cytoplasm	6,05E-04	1,57E-01	Decreased	-3,803	ACTG1,ACTR2,ACTR3,ARHGDIB,ARPC1B,ARPC2,ARPC3,ARPC4,ARPC5,BRK1,CAP1,CAPNS1,CAPZB,CD47,CD82,CD99,CFL1,CIB1,CNN2,CORO1A,CRIP1,CSK,CSRP1,CXCR3,CXCR4,DBNL,DYNLL1,FGR,FKBP1A,FLNA,FUT8,GDI2,GOLPH3,GRB2,GRN,GSN,HCK,ILK,LCP1,LSP1,MEF2C,MIEN1,MTSS1,NCKAP1L,NME1,OGT,PAK2,PARK7,PARP1,PFDN5,PFN1,PKM,PLEK,PREX1,PSMF1,PTPN1,PTPN22,RAB1B,RAC1,RAC2,RAP1B,RHOA,RHOG,S100A11,SEPTIN7,SH3BGRL3,SMARCE1,SNX3,SPI1,SPTAN1,SSNA1,SYK,TLN1,TNF,TNFRSF1B,TWF2,UGCG,VASP,VDAC1,VIM,WASF2,WDR1,WIPF1,YBX1,YWHAH,ZEB2	86
Cell Morphology,Cellular Assembly and Organization,Cellular Function and Maintenance	formation	Formation of cellular protrusions	6,11E-04	1,57E-01	Decreased	-3,842	ACTR2,ACTR3,ARPC1B,ARPC2,ARPC3,ARPC4,BRK1,CAP1,CAPNS1,CAPZB,CD47,CD82,CFL1,CIB1,CRIP1,CSRP1,CXCR3,CXCR4,DBNL,DYNLL1,FGR,FKBP1A,FLNA,FUT8,GDI2,GOLPH3,GRB2,GSN,HCK,ILK,LCP1,MEF2C,MIEN1,MTSS1,NCKAP1L,NME1,OGT,PAK2,PFN1,PREX1,PSMF1,PTPN22,RAC1,RAC2,RAP1B,RHOA,RHOG,S100A11,SEPTIN7,SNX3,SSNA1,SYK,TNF,TNFRSF1B,TWF2,UGCG,VASP,VDAC1,VIM,WASF2,WIPF1,YWHAH,ZEB2	63
Cell-To-Cell Signaling and Interaction,Inflammatory Response	immune response	Immune response of tumor cell lines	6,17E-04	1,57E-01	Decreased	-3,463	ACTR2,ACTR3,ARPC2,ARPC3,ARPC4,BRK1,CD47,CSK,GAPDH,GNAI2,GRB2,HCK,HMOX1,ITGB2,JAK1,MS4A1,NCKAP1L,PFN1,PKM,PLEK,PSMD4,PTPN6,RAC1,RHOA,RHOG,SIGLEC10,SPI1,TLN1,TNF,UBE2L3,VIM,WASF2	32
